i	j	x	r	mach	theta	press	temp
95	0	0.519001	0.336426	1.33244	2.57808	105.588	3703.59
96	0	0.528855	0.326202	1.33775	2.53046	104.824	3697.88
97	0	0.538737	0.316023	1.34317	2.48148	104.048	3692.04
98	0	0.548645	0.305893	1.3487	2.43117	103.261	3686.08
99	0	0.558573	0.295817	1.35434	2.37954	102.463	3680.01
100	0	0.568518	0.285799	1.36007	2.32662	101.655	3673.82
101	0	0.578473	0.275842	1.3659	2.27244	100.839	3667.53
102	0	0.588434	0.265953	1.37181	2.21705	100.015	3661.14
103	0	0.598396	0.256136	1.37781	2.16046	99.1843	3654.65
104	0	0.608353	0.246394	1.38388	2.10273	98.3482	3648.08
105	0	0.618298	0.236733	1.39001	2.04389	97.5076	3641.43
106	0	0.628227	0.227158	1.39621	1.98399	96.6638	3634.71
107	0	0.638131	0.217673	1.40247	1.92307	95.8179	3627.92
108	0	0.648005	0.208284	1.40877	1.8612	94.9709	3621.08
109	0	0.657842	0.198995	1.41511	1.79841	94.1241	3614.19
110	0	0.667634	0.189811	1.42148	1.73477	93.2786	3607.27
111	0	0.677373	0.180738	1.42787	1.67033	92.4356	3600.31
112	0	0.687051	0.17178	1.43428	1.60517	91.5963	3593.34
113	0	0.696661	0.162944	1.44069	1.53936	90.7619	3586.35
114	0	0.706193	0.154235	1.4471	1.47295	89.9334	3579.37
115	0	0.715639	0.145657	1.45349	1.40604	89.1121	3572.39
116	0	0.72499	0.137219	1.45986	1.33871	88.2992	3565.44
117	0	0.734236	0.128924	1.4662	1.27104	87.4957	3558.52
118	0	0.743367	0.120779	1.4725	1.20314	86.7029	3551.64
119	0	0.752372	0.112792	1.47875	1.13511	85.9218	3544.81
120	0	0.761242	0.104968	1.48494	1.06704	85.1536	3538.05
121	0	0.769965	0.0973143	1.49105	0.999079	84.3994	3531.36
122	0	0.778528	0.0898384	1.49709	0.931336	83.6604	3524.77
123	0	0.782725	0.0825479	1.49987	0.85898	83.3209	3521.72
124	0	0.783236	0.075451	1.49993	0.78424	83.3142	3521.66
125	0	0.783484	0.0685561	1.49982	0.711654	83.3269	3521.78
126	0	0.783962	0.0618726	1.49993	0.641777	83.3139	3521.66
127	0	0.784193	0.0554104	1.49988	0.57421	83.3194	3521.71
128	0	0.784415	0.0491802	1.49986	0.509254	83.3219	3521.73
129	0	0.784628	0.0431939	1.49986	0.446987	83.3217	3521.73
130	0	0.784832	0.0374645	1.49989	0.387509	83.3191	3521.71
131	0	0.785025	0.0320069	1.49992	0.330939	83.3146	3521.67
132	0	0.785208	0.0268379	1.49997	0.277422	83.3084	3521.61
133	0	0.785293	0.0219768	1.49997	0.227111	83.3088	3521.61
134	0	0.785373	0.0174471	1.49998	0.180266	83.3077	3521.6
135	0	0.785446	0.013277	1.5	0.137165	83.3054	3521.58
136	0	0.78548	0.00950296	1.5	0.0981656	83.3053	3521.58
137	0	0.785494	0.00617372	1.49999	0.0637702	83.3058	3521.59
138	0	0.785506	0.00336107	1.5	0.0347166	83.3056	3521.58
139	0	0.785511	0.00118843	1.5	0.0122752	83.3055	3521.58
140	0	0.785514	0	1.5	0	83.3053	3521.58

0	1	0.000100171	1	1.13216	0.00717419	136.925	3913.98
1	1	0.000250461	0.999717	1.13199	0.0110049	136.953	3914.15
2	1	0.00050091	0.999245	1.13171	0.0173625	137	3914.44
3	1	0.00085149	0.998583	1.13133	0.0262079	137.065	3914.83
4	1	0.00130217	0.997732	1.13083	0.0374873	137.148	3915.33
5	1	0.00185294	0.996689	1.13024	0.0511328	137.248	3915.94
6	1	0.00250375	0.995455	1.12954	0.0670627	137.365	3916.65
7	1	0.0032546	0.994028	1.12875	0.0851822	137.498	3917.46
8	1	0.00410546	0.992406	1.12786	0.105384	137.647	3918.36
9	1	0.0050563	0.990589	1.12689	0.12755	137.811	3919.35
10	1	0.00610712	0.988573	1.12584	0.151551	137.988	3920.42
11	1	0.00725791	0.986359	1.12471	0.177249	138.179	3921.57
12	1	0.00850864	0.983942	1.12351	0.204495	138.381	3922.79
13	1	0.00985933	0.981323	1.12225	0.233137	138.593	3924.07
14	1	0.01131	0.978497	1.12094	0.263012	138.815	3925.41
15	1	0.0128605	0.975463	1.11957	0.293956	139.045	3926.79
16	1	0.0145111	0.972218	1.11817	0.3258	139.282	3928.21
17	1	0.0162616	0.96876	1.11674	0.358372	139.525	3929.66
18	1	0.0181121	0.965085	1.11528	0.391499	139.772	3931.14
19	1	0.0200625	0.961193	1.11381	0.425009	140.021	3932.63
20	1	0.022113	0.957079	1.11234	0.458731	140.271	3934.12
21	1	0.0242635	0.952741	1.11086	0.492497	140.522	3935.62
22	1	0.0265139	0.948177	1.1094	0.526141	140.77	3937.09
23	1	0.0288644	0.943384	1.10796	0.559505	141.016	3938.55
24	1	0.0313149	0.93836	1.10655	0.592433	141.256	3939.98
25	1	0.0338654	0.933103	1.10517	0.624779	141.491	3941.37
26	1	0.0365158	0.927612	1.10384	0.656403	141.718	3942.72
27	1	0.0392662	0.921885	1.10256	0.687175	141.937	3944.01
28	1	0.0421165	0.91592	1.10134	0.716973	142.145	3945.24
29	1	0.0450666	0.909718	1.10019	0.745683	142.342	3946.4
30	1	0.0481165	0.903277	1.09911	0.773205	142.526	3947.48
31	1	0.051266	0.896599	1.09811	0.799447	142.697	3948.49
32	1	0.0545151	0.889682	1.0972	0.824327	142.853	3949.41
33	1	0.0578636	0.88253	1.09637	0.847777	142.994	3950.24
34	1	0.0613114	0.875143	1.09565	0.869737	143.119	3950.97
35	1	0.0648582	0.867523	1.09502	0.89016	143.227	3951.6
36	1	0.0685039	0.859674	1.09449	0.909009	143.318	3952.13
37	1	0.0722482	0.851598	1.09406	0.926258	143.391	3952.56
38	1	0.0760909	0.8433	1.09374	0.941891	143.446	3952.88
39	1	0.0800317	0.834783	1.09353	0.955902	143.483	3953.1
40	1	0.0840702	0.826053	1.09341	0.968294	143.501	3953.21
41	1	0.0882062	0.817114	1.09341	0.979078	143.502	3953.22
42	1	0.0924391	0.807972	1.09351	0.988276	143.486	3953.12
43	1	0.0967686	0.798632	1.09371	0.995912	143.451	3952.92
44	1	0.101194	0.789101	1.09401	1.00202	143.4	3952.62
45	1	0.105715	0.779385	1.0944	1.00664	143.332	3952.22
46	1	0.110331	0.76949	1.09489	1.00981	143.248	3951.73
47	1	0.115042	0.759423	1.09547	1.01157	143.149	3951.14
48	1	0.119846	0.74919	1.09614	1.01198	143.035	3950.47
49	1	0.124743	0.738798	1.09689	1.01107	142.906	3949.72
50	1	0.129732	0.728253	1.09772	1.00889	142.764	3948.89
51	1	0.134812	0.717562	1.09862	1.0055	142.61	3947.98
52	1	0.139983	0.706732	1.0996	1.00091	142.443	3946.99
53	1	0.145243	0.695769	1.10064	0.995179	142.264	3945.94
54	1	0.150592	0.684679	1.10175	0.988329	142.074	3944.82
55	1	0.156027	0.673468	1.10293	0.980385	141.873	3943.63
56	1	0.161549	0.662144	1.10416	0.971364	141.663	3942.39
57	1	0.167156	0.650712	1.10546	0.961274	141.442	3941.08
58	1	0.172847	0.639178	1.10681	0.950118	141.212	3939.72
59	1	0.178619	0.627548	1.10821	0.937885	140.973	3938.3
60	1	0.184473	0.615828	1.10967	0.924557	140.724	3936.82
61	1	0.190406	0.604024	1.11119	0.910107	140.467	3935.29
62	1	0.196418	0.592141	1.11276	0.894495	140.2	3933.7
63	1	0.202506	0.580186	1.11438	0.877672	139.925	3932.06
64	1	0.208669	0.568164	1.11606	0.859578	139.641	3930.36
65	1	0.214906	0.556081	1.11779	0.840143	139.347	3928.6
66	1	0.221215	0.543942	1.11958	0.819285	139.045	3926.78
67	1	0.227594	0.531753	1.12143	0.796912	138.733	3924.91
68	1	0.234041	0.519519	1.12333	0.772923	138.411	3922.97
69	1	0.240556	0.507245	1.1253	0.747205	138.079	3920.97
70	1	0.247135	0.494938	1.12733	0.719633	137.737	3918.9
71	1	0.253778	0.482602	1.12943	0.690074	137.384	3916.77
72	1	0.260482	0.470242	1.13159	0.658384	137.021	3914.56
73	1	0.267246	0.457865	1.13382	0.624408	136.647	3912.29
74	1	0.274067	0.445473	1.13612	0.587981	136.261	3909.94
75	1	0.280944	0.433074	1.1385	0.548925	135.864	3907.51
76	1	0.287875	0.420671	1.14095	0.507051	135.454	3905
77	1	0.294857	0.408269	1.14347	0.462157	135.033	3902.42
78	1	0.301889	0.395873	1.14608	0.414027	134.599	3899.75
79	1	0.308968	0.383488	1.14876	0.362428	134.154	3897
80	1	0.316092	0.371119	1.15152	0.307109	133.695	3894.17
81	1	0.323259	0.358769	1.15436	0.247798	133.224	3891.25
82	1	0.330465	0.346442	1.15728	0.184194	132.741	3888.24
83	1	0.337708	0.334145	1.16029	0.11597	132.245	3885.15
84	1	0.344986	0.321879	1.16338	0.0427581	131.736	3881.97
85	1	0.35233	0.309597	1.16641	0	131.237	3878.83
86	1	0.359721	0.297359	1.17001	0	130.646	3875.12
87	1	0.367098	0.285305	1.17488	0	129.851	3870.09
88	1	0.374503	0.273401	1.18046	0	128.941	3864.31
89	1	0.381955	0.261626	1.18648	0	127.964	3858.06
90	1	0.389463	0.249973	1.19279	0	126.943	3851.5
91	1	0.397032	0.238438	1.19932	0	125.892	3844.69
92	1	0.404661	0.22702	1.20604	0	124.816	3837.69
93	1	0.41235	0.215718	1.21291	0	123.72	3830.5
94	1	0.420096	0.204533	1.21993	0	122.607	3823.14
95	1	0.427897	0.193466	1.22709	0	121.477	3815.63
96	1	0.43575	0.182519	1.23439	0	120.333	3807.96
97	1	0.443653	0.171693	1.2418	0	119.176	3800.14
98	1	0.4516	0.16099	1.24934	0	118.006	3792.19
99	1	0.45959	0.150411	1.257	0	116.827	3784.09
100	1	0.467618	0.139958	1.26476	0	115.637	3775.87
101	1	0.475679	0.129633	1.27262	0	114.44	3767.52
102	1	0.483769	0.119437	1.28058	0	113.236	3759.06
103	1	0.491884	0.109373	1.28863	0	112.026	3750.49
104	1	0.500018	0.0994432	1.29676	0	110.813	3741.82
105	1	0.508166	0.0896495	1.30496	0	109.597	3733.05
106	1	0.516323	0.0799944	1.31323	0	108.38	3724.2
107	1	0.524482	0.0704805	1.32156	0	107.163	3715.27
108	1	0.532637	0.0611103	1.32994	0	105.948	3706.27
109	1	0.540783	0.0518868	1.33836	0	104.737	3697.22
110	1	0.548911	0.0428129	1.34681	0	103.53	3688.12
111	1	0.557016	0.0338917	1.35529	0	102.329	3678.99
112	1	0.565089	0.0251264	1.36377	0	101.136	3669.83
113	1	0.573122	0.0165205	1.37227	0	99.9518	3660.65
114	1	0.581096	0.00809278	1.38102	0	98.7409	3651.18
115	1	0.588804	0	1.38102	0	98.7409	3651.18

0	2	0.0004008	1	1.13276	0.0287052	136.824	3913.36
1	2	0.000651627	0.999529	1.13249	0.035066	136.87	3913.65
2	2	0.00100274	0.998869	1.1321	0.0439159	136.935	3914.04
3	2	0.00145411	0.99802	1.13161	0.0552012	137.017	3914.54
4	2	0.00200571	0.99698	1.13102	0.0688538	137.117	3915.15
5	2	0.00265753	0.995748	1.13032	0.0847921	137.234	3915.86
6	2	0.00340954	0.994324	1.12953	0.102921	137.367	3916.66
7	2	0.00426173	0.992707	1.12865	0.123134	137.515	3917.56
8	2	0.00521408	0.990893	1.12768	0.145313	137.678	3918.55
9	2	0.00626658	0.988883	1.12663	0.169327	137.855	3919.62
10	2	0.00741923	0.986674	1.1255	0.19504	138.044	3920.76
11	2	0.00867202	0.984264	1.12431	0.222302	138.246	3921.98
12	2	0.010025	0.981651	1.12305	0.250961	138.457	3923.25
13	2	0.011478	0.978832	1.12174	0.280855	138.678	3924.58
14	2	0.0130313	0.975806	1.12039	0.311819	138.908	3925.96
15	2	0.0146847	0.972569	1.11899	0.343684	139.144	3927.38
16	2	0.0164383	0.96912	1.11757	0.376278	139.385	3928.83
17	2	0.0182922	0.965456	1.11612	0.409429	139.631	3930.3
18	2	0.0202462	0.961574	1.11465	0.442964	139.879	3931.78
19	2	0.0223006	0.957471	1.11318	0.476712	140.128	3933.27
20	2	0.0244552	0.953145	1.11171	0.510504	140.377	3934.75
21	2	0.0267101	0.948594	1.11026	0.544177	140.625	3936.23
22	2	0.0290653	0.943815	1.10882	0.57757	140.869	3937.68
23	2	0.0315208	0.938806	1.10742	0.610529	141.108	3939.1
24	2	0.0340767	0.933565	1.10605	0.642907	141.341	3940.48
25	2	0.0367328	0.92809	1.10472	0.674564	141.567	3941.82
26	2	0.0394893	0.92238	1.10345	0.70537	141.784	3943.1
27	2	0.042346	0.916434	1.10224	0.735202	141.991	3944.33
28	2	0.045303	0.91025	1.1011	0.763949	142.186	3945.48
29	2	0.0483601	0.90383	1.10003	0.791508	142.369	3946.56
30	2	0.0515172	0.897172	1.09903	0.817788	142.539	3947.56
31	2	0.0547743	0.890278	1.09813	0.842708	142.694	3948.47
32	2	0.0581313	0.883149	1.09731	0.866198	142.833	3949.29
33	2	0.061588	0.875785	1.09659	0.8882	142.957	3950.02
34	2	0.0651441	0.86819	1.09597	0.908667	143.063	3950.64
35	2	0.0687997	0.860367	1.09545	0.92756	143.153	3951.17
36	2	0.0725543	0.852317	1.09503	0.944855	143.225	3951.59
37	2	0.0764077	0.844046	1.09471	0.960536	143.279	3951.91
38	2	0.0803597	0.835557	1.0945	0.974596	143.315	3952.12
39	2	0.0844099	0.826856	1.0944	0.987039	143.333	3952.22
40	2	0.0885579	0.817946	1.0944	0.997877	143.333	3952.22
41	2	0.0928034	0.808833	1.0945	1.00713	143.315	3952.12
42	2	0.097146	0.799524	1.09471	1.01482	143.28	3951.91
43	2	0.101585	0.790023	1.09501	1.02099	143.228	3951.61
44	2	0.10612	0.780338	1.09541	1.02567	143.159	3951.2
45	2	0.11075	0.770474	1.0959	1.0289	143.075	3950.71
46	2	0.115476	0.760438	1.09649	1.03074	142.975	3950.12
47	2	0.120295	0.750237	1.09716	1.03121	142.86	3949.45
48	2	0.125207	0.739876	1.09791	1.03038	142.731	3948.69
49	2	0.130212	0.729363	1.09874	1.02828	142.589	3947.85
50	2	0.135309	0.718704	1.09965	1.02496	142.433	3946.94
51	2	0.140496	0.707906	1.10063	1.02046	142.266	3945.95
52	2	0.145773	0.696974	1.10168	1.01482	142.087	3944.89
53	2	0.151139	0.685916	1.10279	1.00806	141.897	3943.77
54	2	0.156593	0.674737	1.10397	1.00021	141.696	3942.58
55	2	0.162132	0.663444	1.10521	0.991295	141.484	3941.33
56	2	0.167757	0.652042	1.1065	0.981312	141.264	3940.02
57	2	0.173466	0.640539	1.10786	0.970268	141.033	3938.66
58	2	0.179258	0.62894	1.10927	0.958152	140.793	3937.23
59	2	0.185131	0.61725	1.11073	0.944949	140.545	3935.75
60	2	0.191083	0.605476	1.11225	0.930628	140.287	3934.22
61	2	0.197114	0.593623	1.11382	0.915153	140.02	3932.62
62	2	0.203222	0.581697	1.11544	0.898475	139.744	3930.98
63	2	0.209405	0.569704	1.11712	0.880533	139.46	3929.27
64	2	0.215662	0.557649	1.11886	0.861259	139.166	3927.51
65	2	0.221992	0.545538	1.12065	0.840572	138.863	3925.69
66	2	0.228391	0.533377	1.1225	0.818381	138.551	3923.81
67	2	0.23486	0.52117	1.12441	0.794585	138.228	3921.87
68	2	0.241395	0.508923	1.12638	0.769071	137.896	3919.87
69	2	0.247996	0.496642	1.12842	0.741718	137.554	3917.8
70	2	0.254661	0.484331	1.13052	0.712393	137.201	3915.66
71	2	0.261387	0.471996	1.13268	0.680954	136.838	3913.45
72	2	0.268173	0.459643	1.13492	0.647248	136.463	3911.17
73	2	0.275017	0.447275	1.13722	0.611111	136.077	3908.81
74	2	0.281916	0.434899	1.1396	0.572368	135.679	3906.38
75	2	0.28887	0.422518	1.14205	0.530834	135.269	3903.87
76	2	0.295876	0.410138	1.14458	0.486308	134.848	3901.28
77	2	0.302931	0.397764	1.14719	0.438579	134.414	3898.61
78	2	0.310034	0.385399	1.14988	0.387417	133.968	3895.85
79	2	0.317182	0.373049	1.15264	0.332577	133.509	3893.01
80	2	0.324373	0.360718	1.15549	0.27379	133.038	3890.09
81	2	0.331604	0.34841	1.15842	0.210766	132.554	3887.08
82	2	0.338872	0.336129	1.16143	0.143182	132.058	3883.98
83	2	0.346176	0.323881	1.16452	0.0706791	131.549	3880.79
84	2	0.353539	0.31161	1.16692	0.0125249	131.154	3878.31
85	2	0.360932	0.299356	1.16872	0	130.858	3876.45
86	2	0.368291	0.287249	1.17181	0	130.352	3873.26
87	2	0.375663	0.275262	1.17615	0	129.643	3868.77
88	2	0.383072	0.263389	1.18134	0	128.798	3863.39
89	2	0.390531	0.251629	1.18709	0	127.864	3857.42
90	2	0.398047	0.239984	1.19324	0	126.87	3851.03
91	2	0.40562	0.228454	1.19967	0	125.835	3844.33
92	2	0.413251	0.217042	1.20633	0	124.77	3837.39
93	2	0.420939	0.20575	1.21316	0	123.68	3830.24
94	2	0.428681	0.194578	1.22016	0	122.57	3822.9
95	2	0.436474	0.183528	1.22731	0	121.443	3815.4
96	2	0.444316	0.172602	1.23459	0	120.301	3807.75
97	2	0.452204	0.161802	1.242	0	119.145	3799.94
98	2	0.460132	0.151129	1.24953	0	117.978	3791.99
99	2	0.468099	0.140585	1.25718	0	116.799	3783.9
100	2	0.476099	0.130171	1.26493	0	115.611	3775.69
101	2	0.484129	0.11989	1.27279	0	114.415	3767.35
102	2	0.492183	0.109744	1.28074	0	113.212	3758.9
103	2	0.500256	0.0997339	1.28878	0	112.004	3750.33
104	2	0.508344	0.0898632	1.2969	0	110.792	3741.67
105	2	0.51644	0.0801338	1.30509	0	109.578	3732.91
106	2	0.52454	0.0705483	1.31335	0	108.362	3724.07
107	2	0.532637	0.0611094	1.32167	0	107.147	3715.15
108	2	0.540724	0.0518197	1.33004	0	105.934	3706.17
109	2	0.548794	0.0426823	1.33845	0	104.724	3697.13
110	2	0.556842	0.0337001	1.34689	0	103.519	3688.04
111	2	0.564859	0.0248764	1.35535	0	102.32	3678.92
112	2	0.572837	0.0162147	1.36383	0	101.128	3669.77
113	2	0.580756	0.00773337	1.37244	0	99.927	3660.46
114	2	0.588025	0	1.37244	0	99.927	3660.46

0	3	0.000902314	1	1.13378	0.0646235	136.654	3912.33
1	3	0.0012543	0.999343	1.13339	0.0734809	136.718	3912.72
2	3	0.00170681	0.998497	1.1329	0.0847758	136.8	3913.22
3	3	0.00225981	0.997461	1.13231	0.0984402	136.9	3913.83
4	3	0.00291329	0.996234	1.13162	0.114392	137.016	3914.53
5	3	0.00366723	0.994816	1.13083	0.132538	137.148	3915.33
6	3	0.00452163	0.993205	1.12996	0.152769	137.295	3916.23
7	3	0.00547647	0.991399	1.12899	0.174968	137.457	3917.21
8	3	0.00653176	0.989397	1.12795	0.199005	137.633	3918.27
9	3	0.00768749	0.987197	1.12683	0.224741	137.821	3919.41
10	3	0.00894368	0.984796	1.12564	0.252031	138.021	3920.62
11	3	0.0103003	0.982194	1.12439	0.280718	138.231	3921.89
12	3	0.0117575	0.979387	1.12309	0.310643	138.451	3923.21
13	3	0.0133151	0.976374	1.12174	0.34164	138.679	3924.58
14	3	0.0149733	0.973152	1.12036	0.373539	138.913	3925.99
15	3	0.0167321	0.969718	1.11894	0.40617	139.153	3927.43
16	3	0.0185915	0.966069	1.1175	0.43936	139.396	3928.89
17	3	0.0205515	0.962204	1.11604	0.472936	139.643	3930.37
18	3	0.0226123	0.95812	1.11459	0.506726	139.89	3931.85
19	3	0.0247737	0.953814	1.11313	0.540564	140.137	3933.32
20	3	0.0270359	0.949284	1.11169	0.574283	140.382	3934.78
21	3	0.029399	0.944528	1.11026	0.607724	140.624	3936.22
22	3	0.0318629	0.939543	1.10887	0.640734	140.861	3937.64
23	3	0.0344276	0.934327	1.10751	0.673164	141.092	3939.01
24	3	0.0370932	0.928879	1.1062	0.704875	141.316	3940.33
25	3	0.0398597	0.923197	1.10494	0.735737	141.531	3941.6
26	3	0.042727	0.917281	1.10374	0.765627	141.735	3942.82
27	3	0.0456952	0.911129	1.10261	0.794433	141.928	3943.96
28	3	0.0487642	0.904742	1.10155	0.822054	142.109	3945.02
29	3	0.051934	0.898119	1.10057	0.848397	142.276	3946.01
30	3	0.0552044	0.891261	1.09968	0.873382	142.429	3946.91
31	3	0.0585753	0.884169	1.09887	0.896939	142.566	3947.72
32	3	0.0620466	0.876844	1.09816	0.919011	142.688	3948.43
33	3	0.0656183	0.86929	1.09755	0.939549	142.792	3949.05
34	3	0.0692899	0.861508	1.09704	0.958516	142.88	3949.56
35	3	0.0730615	0.853502	1.09663	0.975887	142.95	3949.98
36	3	0.0769326	0.845275	1.09633	0.991647	143.002	3950.28
37	3	0.080903	0.836832	1.09613	1.00579	143.036	3950.48
38	3	0.0849724	0.828177	1.09603	1.01832	143.052	3950.58
39	3	0.0891404	0.819314	1.09604	1.02924	143.051	3950.57
40	3	0.0934066	0.81025	1.09615	1.03858	143.032	3950.46
41	3	0.0977706	0.80099	1.09637	1.04637	142.995	3950.24
42	3	0.102232	0.791539	1.09668	1.05264	142.942	3949.93
43	3	0.10679	0.781904	1.09709	1.05742	142.872	3949.52
44	3	0.111444	0.772092	1.09759	1.06076	142.787	3949.02
45	3	0.116193	0.762107	1.09818	1.0627	142.686	3948.42
46	3	0.121037	0.751957	1.09885	1.0633	142.57	3947.74
47	3	0.125975	0.741648	1.09961	1.06258	142.44	3946.98
48	3	0.131006	0.731187	1.10045	1.06061	142.297	3946.13
